auth_id,card_id,merchant_id,auth_datetime,amount,currency,auth_code,auth_result,decline_reason,is_online
1,668,99,2025-08-07 01:56:47,49611.22,KZT,389090,approved,,True
2,268,27,2025-07-12 09:35:33,4618.95,KZT,212937,approved,,True
3,119,58,2025-08-15 23:09:53,43966.25,KZT,087752,approved,,True
4,520,88,2025-08-27 01:19:55,14967.33,KZT,003940,approved,,True
5,28,38,2025-07-14 07:20:32,66022.41,KZT,410626,approved,,True
6,817,95,2025-08-17 15:02:42,68054.96,KZT,466882,approved,,True
7,968,35,2025-09-01 12:14:21,7993.37,KZT,223878,approved,,True
8,249,14,2025-09-15 13:13:13,24575.17,KZT,360412,approved,,True
9,725,89,2025-09-16 23:46:49,14046.62,KZT,171396,approved,,True
10,172,31,2025-07-03 23:11:27,64417.17,KZT,936122,approved,,True
11,563,89,2025-07-29 04:47:28,5093.5,KZT,869726,approved,,True
12,827,67,2025-10-06 10:30:57,18843.36,KZT,374293,approved,,True
13,1130,91,2025-08-04 12:51:48,22846.03,KZT,316479,approved,,True
14,1087,86,2025-12-30 09:58:00,36880.24,KZT,986147,declined,limit_exceeded,True
15,237,19,2025-11-04 03:28:03,54299.33,KZT,450223,approved,,True
16,218,56,2025-11-28 14:36:00,76323.75,KZT,907324,approved,,True
17,773,11,2025-08-04 19:32:00,36736.43,KZT,953767,approved,,True
18,606,87,2025-09-02 06:23:00,76222.67,KZT,207830,approved,,True
19,512,53,2025-09-04 10:44:35,68139.24,KZT,879026,approved,,True
20,949,22,2025-11-28 21:56:10,55862.63,KZT,548122,approved,,True
21,65,66,2025-09-01 10:01:29,10769.97,KZT,699249,approved,,True
22,590,92,2025-10-13 00:43:12,73488.71,KZT,614702,approved,,True
23,854,95,2025-08-25 08:54:25,7323.39,KZT,894625,approved,,True
24,412,3,2025-08-17 12:46:06,3790.92,KZT,743966,approved,,True
25,979,65,2025-09-22 16:26:40,59877.04,KZT,858604,approved,,True
26,614,23,2025-07-12 14:50:47,40500.06,KZT,759652,approved,,True
27,683,33,2025-11-13 09:00:05,12021.37,KZT,600990,approved,,True
28,531,82,2025-09-05 03:54:36,66509.57,KZT,047488,approved,,True
29,218,33,2025-11-20 00:04:32,13577.68,KZT,669652,approved,,True
30,268,26,2025-09-23 14:13:03,75227.83,KZT,095860,approved,,True
31,526,32,2025-12-29 05:29:42,20633.98,KZT,662478,approved,,True
32,584,87,2025-07-28 13:28:43,32804.84,KZT,514949,approved,,True
33,1044,39,2025-09-18 13:10:50,39260.85,KZT,117953,approved,,True
34,1048,61,2025-11-17 18:06:29,43052.06,KZT,472925,approved,,True
35,926,80,2025-08-02 10:04:01,68826.22,KZT,589696,approved,,True
36,101,83,2025-09-03 15:32:05,56902.04,KZT,805301,approved,,True
37,146,94,2025-10-08 17:13:02,7953.37,KZT,885086,approved,,True
38,830,10,2025-12-16 10:16:41,76100.06,KZT,423274,approved,,True
